ixs_xme|GHAIALX0A0LG|1|3|
HlavSes|GINIS administrace (Ministr)|Vılsedky hledání dle zadaného filtru||GINIS administrace|GINIS Úkoly v.472.6|||Kuba Martin MUDr., Ministr||||||||||Vytvoøen,Pøidìlen,Pøevzat|neurèen|||
TiskSes|UMPO 184/2004|Návrh na ratifikaci Evropské dohody o mezinárodní pøepravì nebezpeènıch vìcí po vnitrozemskıch vodních cestách - Dohoda ADN|20110815000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Tlapa Martin Ing. MBA, Námìstek ministra 06000|06000sek|Sekce evropské integrace|14.04.2003|è.369/2003 IV/3.1|Vláda  (materiál è.412/03)|Po vstupu Dohody v platnost pro Èeskou republiku zabezpeèit její provádìní (MV, MPO, MD, MP, MO)\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8471\n----------------------------------------------------------\n\nNKT: 30.10.2008\nNKT: 30.4.2010\nNKT: 1.1.2011\nNKT: 15.2.2011\nNKT: 15.5.2011\nNKT: 15.8.2011||Kuba Martin MUDr.|Tlapa Martin Ing. MBA|Ministr|Námìstek ministra 06000|20030414000000|
TiskSes|UMPO 205/2004|Návrh "Øešení zmírnìní dopadù ukonèení tìby uhlí v kladenském regionu"|20121231000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|04.06.2003|è.552/2003 III/1a)|Vláda  (materiál è.664/03)|Zajišovat ve spolupráci s MF, MP, MD, FNM ÈR a hejtmanem Støedoèeského kraje pøípravu a realizaci øešení ke zmírnìní dopadù ukonèení tìby uhlí v kladenském regionu podle bodu II usnesení vlády è.552/03 (podle zákona è.199/1994 Sb., o zadávání veøejnıch zakázek, ve znìní pozdìjších pøedpisù a § 18 odst. 2 písm. b) bodu zákona è. 171/1991 Sb. o pùsobnosti orgánù ÈR ve vìcech pøevodù majetku ÈR na jiné osoby a o FNM ÈR, ve znìní pozdìjších pøedpisù)\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8561\n----------------------------------------------------------||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|20030604000000|
TiskSes|UMPO 243/2004|Závìreèná doporuèení Vıboru pro práva dítìte - kontrolního orgánu Úmluvy o právech dítìte|20120131000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Duben Jan Ing., Øeditel sekce 05000|05000sek|Vedení sekce|10.09.2003|è.898/2003 II/2.1 b)|Vláda  (materiál è.1150/03)|Informovat vdy do 31. ledna kadého kalendáøního roku zmocnìnce vlády pro lidská práva o stavu plnìní opatøení bodu II/2a) usnesení vlády è.898/03 jako i o jinıch aktivitách provádìnıch k implementaci doporuèení Vıboru a Úmluvy o právech dítìte za pøedchozí kalendáøní rok\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8699\n----------------------------------------------------------||Kuba Martin MUDr.|Duben Jan Ing.|Ministr|Øeditel sekce 05000|20030910000000|
TiskSes|UMPO 285/2004|Aktuální problémy Moravskoslezského kraje|20120630000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|01.12.2003|è.1207/2003 II/2 b)|Vláda  (materiál è.1546/03)|Pokraèovat v pøípravì odstraòování starıch ekologickıch zátìí\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8805\n----------------------------------------------------------||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|20031201000000|
TiskSes|UMPO 318/2004|Návrh opatøení k uplatòování zbrojního embarga vùèi Konské demokratické republice|20121215000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Hovorka Milan Ing., Námìstek ministra 07000|07000sek|Vedení sekce|07.01.2004|è.14/2004 II/1|Vláda  (materiál è.1706/03)|Ve spolupráci s MV, MZV a MO zamezit pøímému i nepøímému dodávání, prodeji nebo pøesunu zbraní a pøíbuzného materiálu všech druhù, vèetnì zbraní a munice, vojenskıch vozidel a zaøízení, polovojenského zaøízení a náhradních dílù Konské demokratické republice nebo pøes území Èeské republiky jakékoliv osobì, subjektu nebo orgánu v Konské demokratické republice s vıjimkou Mise OSN v KDR, humanitárních pracovníkù a integrované Konské národní armády a policie, na základì zákona è. 38/1994 Sb., o zahranièním obchodu s vojenskım materiálem, ve znìní pozdìjších pøedpisù, zákona è. 62/2000 Sb., o nìkterıch opatøeních pøi vıvozu nebo dovozu vırobkù a o licenèním øízení a o zmìnì nìkterıch zákonù a zákona è. 119/2002 Sb., o zbraních, ve znìní pozdìjších pøedpisù a o doplnìní zákona è. 155/1991 Sb., o ivnostenském podnikání (ivnostenskı zákon), ve znìní pozdìjších pøedpisù, a zákona è. 140/1961 Sb., trestní zákon, ve znìní pozdìjších pøedpisù, ve znìní zákona è. 310/2002 Sb.\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8866\n----------------------------------------------------------||Kuba Martin MUDr.|Hovorka Milan Ing.|Ministr|Námìstek ministra 07000|20040107000000|
TiskSes|UMPO 319/2004|Návrh opatøení k uplatòování zbrojního embarga vùèi Konské demokratické republice|20121215000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Hovorka Milan Ing., Námìstek ministra 07000|07000sek|Vedení sekce|07.01.2004|è.14/2004 II/2|Vláda  (materiál è.1706/03)|Spolupracovat s MF na zamezení (v souladu s naøízením Rady EU è. 1727/2003) financování a poskytování finanèní pomoci, vèetnì grantù, pùjèek a vıvozního úvìrového pojištìní na jakıkoliv prodej, dodávky, pøevod nebo vıvoz zbraní a pøíbuzného materiálu všech druhù, vèetnì zbraní a munice, vojenskıch vozidel a zaøízení, polovojenského zaøízení a náhradních dílù, pøímo èi nepøímo, jakékoliv osobì, subjektu nebo orgánù v Konské demokratické republice s vıjimkou Mise OSN v Konské demokratické republice, humanitárních pracovníkù a integrované Konské národní armády a policie\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8867\n----------------------------------------------------------||Kuba Martin MUDr.|Hovorka Milan Ing.|Ministr|Námìstek ministra 07000|20040107000000|
TiskSes|UMPO 321/2004|Návrh opatøení k uplatòování zbrojního embarga vùèi Konské demokratické republice|20121215000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Hovorka Milan Ing., Námìstek ministra 07000|07000sek|Vedení sekce|07.01.2004|è.14/2004 II/3|Vláda  (materiál è.1706/03)|Ve spolupráci s MV a MO zamezit v souladu s naøízením Rady EU è. 1727/2003 pøímému èi nepøímému poskytování technického poradenství, pomoci nebo vıcviku, které se vztahují k vojenské èinnosti a zvláštì vıcviku a pomoci, které se vztahují k vırobì, údrbì a pouívání zbraní a pøíbuzného materiálu všech druhù jakékoliv osobì, subjektu nebo orgánu v Konské demokratické republice s vıjimkou Mise OSN v KDR, Humanitárních pracovníkù a integrované Konské národní armády a policie\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8869\n----------------------------------------------------------||Kuba Martin MUDr.|Hovorka Milan Ing.|Ministr|Námìstek ministra 07000|20040107000000|
TiskSes|UMPO 324/2004|Metodika pro vyhodnocování pøínosù Státního programu na podporu úspor energie a vyuití obnovitelnıch zdrojù energie|20120630000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|21.01.2004|è.81/2004 II/1|Vláda  (materiál è.20/04)|Provádìt kadoroènì, podle Metodiky, vyhodnocení celého Státního programu na podporu úspor energie a vyuití obnovitelnıch zdrojù energie a pøedkládat je vládì ve smyslu usnesení vlády z 12. èervence 2000 è. 686,\n(a to poprvé do 30. èervna 2005 za rok 2004)\n\n\n(Poèínaje rokem 2008 je na základì usnesení è. 925 ze dne 22. srpna 2007 Státní program zpracováván pouze v resortech MPO, MP, MMR, MD a MZe.)||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|20040121000000|
TiskSes|UMPO 349/2004|Komplexní koncepce vládního utajeného spojení ("Koncepce")|20121231000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Zeman Zdenìk ING., Øed. odboru  - Bezp. øed|01100sek|Vedení odboru|04.02.2004|è.112/2004 II/4b)|Vláda  (materiál è.96/04)|Spolupracovat s MV pøi budování nového systému vládního spojení v souladu s Koncepcí\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8904\n----------------------------------------------------------||Kuba Martin MUDr.|Zeman Zdenìk ING.|Ministr|Øed. odboru  - Bezp. øed|20040204000000|
TiskSes|UMPO 350/2004|Informace o poètu zbytkovıch státních podnikù k 30.6.2003 a postupu ukonèování jejich èinnosti a návrh dalšího postupu pøi zpracování zprávy o zbytkovıch státních podnicích a o ukonèování jejich èinnosti|20120331000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Jirka Jiøí Ing., Námìstek ministra a VÚM|02000vir|Vedení sekce|04.02.2004|è.114/2004 III/1.a)b)|Vláda  (materiál è.88/04)|Zpracovávat zprávy o zbytkovıch státních podnicích a ukonèování jejich èinnosti podle osnovy, uvedené v pøíloze usnesení vlády è. 114/04 a pøedávat je jednou roènì MF a to vdy do 31. bøezna následujícího kalendáøního roku\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8906\n----------------------------------------------------------||Kuba Martin MUDr.|Jirka Jiøí Ing.|Ministr|Námìstek ministra a VÚM|20040204000000|
